cycle,o_word
1138,0
1139,0
1140,7.9375
1141,-8
1142,0.0625
1143,0
1144,0.0625
1145,0
1146,-0.0625
1147,0
1148,4.9375
1149,5.125
1150,5.25
1151,5.375
1152,5.5625
1153,0
1154,0
1155,0
1156,7.9375
1157,-8
1158,0.0625
1159,0
1160,0.0625
1161,0
1162,-0.0625
1163,0
1164,7.25
1165,7.4375
1166,7.5625
1167,7.6875
1168,7.875
1169,0
1170,0
1171,0
1172,7.9375
1173,-8
1174,0.0625
1175,0
1176,0.0625
1177,0
1178,-0.0625
1179,0
1180,-6.4375
1181,-6.25
1182,-6.125
1183,-6
1184,-5.8125
1185,0
1186,0
1187,0
1188,7.9375
1189,-8
1190,0.0625
1191,0
1192,0.0625
1193,0
1194,-0.0625
1195,0
1196,-4.125
1197,-3.9375
1198,-3.8125
1199,-3.6875
1200,-3.5
1201,0
1202,0
1203,0
1204,7.9375
1205,-8
1206,0.0625
1207,0
1208,0.0625
1209,0
1210,-0.0625
1211,0
1212,-1.8125
1213,-1.625
1214,-1.5
1215,-1.375
1216,-1.1875
1217,0
1218,0
1219,0
1220,7.9375
1221,-8
1222,0.0625
1223,0
1224,0.0625
1225,0
1226,-0.0625
1227,0
1228,0.5
1229,0.6875
1230,0.8125
1231,0.9375
1232,1.125
1233,0
1234,0
1235,0
1236,7.9375
1237,-8
1238,0.0625
1239,0
1240,0.0625
1241,0
1242,-0.0625
1243,0
1244,2.8125
1245,3
1246,3.125
1247,3.25
1248,3.4375
1249,0
1250,0
1251,0
1252,7.9375
1253,-8
1254,0.0625
1255,0
1256,0.0625
1257,0
1258,-0.0625
1259,0
1260,5.125
1261,5.3125
1262,5.4375
1263,5.5625
1264,5.75
1265,0
1266,0
1267,0
1268,7.9375
1269,-8
1270,0.0625
1271,0
1272,0.0625
1273,0
1274,-0.0625
1275,0
1276,7.4375
1277,7.625
1278,7.75
1279,7.875
1280,-7.9375
1281,0
1282,0
1283,0
1284,7.9375
1285,-8
1286,0.0625
1287,0
1288,0.0625
1289,0
1290,-0.0625
1291,0
1292,-6.25
1293,-6.0625
1294,-5.9375
1295,-5.8125
1296,-5.625
1297,0
1298,0
1299,0
1300,7.9375
1301,-8
1302,0.0625
1303,0
1304,0.0625
1305,0
1306,-0.0625
1307,0
1308,-3.9375
1309,-3.75
1310,-3.625
1311,-3.5
1312,-3.3125
1313,0
1314,0
1315,0
1316,7.9375
1317,-8
1318,0.0625
1319,0
1320,0.0625
1321,0
1322,-0.0625
1323,0
1324,-1.625
1325,-1.4375
1326,-1.3125
1327,-1.1875
1328,-1
1329,0
1330,0
1331,0
1332,7.9375
1333,-8
1334,0.0625
1335,0
1336,0.0625
1337,0
1338,-0.0625
1339,0
1340,0.6875
1341,0.875
1342,1
1343,1.125
1344,1.3125
1345,0
1346,0
1347,0
1348,7.9375
1349,-8
1350,0.0625
1351,0
1352,0.0625
1353,0
1354,-0.0625
1355,0
1356,3
1357,3.1875
1358,3.3125
1359,3.4375
1360,3.625
1361,0
1362,0
1363,0
1364,7.9375
1365,-8
1366,0.0625
1367,0
1368,0.0625
1369,0
1370,-0.0625
1371,0
1372,5.3125
1373,5.5
1374,5.625
1375,5.75
1376,5.9375
1377,0
1378,0
1379,0
1380,7.9375
1381,-8
1382,0.0625
1383,0
1384,0.0625
1385,0
1386,-0.0625
1387,0
1388,7.625
1389,7.8125
1390,7.9375
1391,-7.9375
1392,-7.75
1393,0
1394,0
1395,0
1396,7.9375
1397,-8
1398,0.0625
1399,0
1400,0.0625
1401,0
1402,-0.0625
1403,0
1404,-6.0625
1405,-5.875
1406,-5.75
1407,-5.625
1408,-5.4375
1409,0
1410,0
1411,0
1412,7.9375
1413,-8
1414,0.0625
1415,0
1416,0.0625
1417,0
1418,-0.0625
1419,0
1420,-3.75
1421,-3.5625
1422,-3.4375
1423,-3.3125
1424,-3.125
1425,0
1426,0
1427,0
1428,7.9375
1429,-8
1430,0.0625
1431,0
1432,0.0625
1433,0
1434,-0.0625
1435,0
1436,-1.4375
1437,-1.25
1438,-1.125
1439,-1
1440,-0.8125
1441,0
1442,0
1443,0
1444,7.9375
1445,-8
1446,0.0625
1447,0
1448,0.0625
1449,0
1450,-0.0625
1451,0
1452,0.875
1453,1.0625
1454,1.1875
1455,1.3125
1456,1.5
1457,0
1458,0
1459,0
1460,7.9375
1461,-8
1462,0.0625
1463,0
1464,0.0625
1465,0
1466,-0.0625
1467,0
1468,3.1875
1469,3.375
1470,3.5
1471,3.625
1472,3.8125
1473,0
1474,0
1475,0
1476,7.9375
1477,-8
1478,0.0625
1479,0
1480,0.0625
1481,0
1482,-0.0625
1483,0
1484,5.5
1485,5.6875
1486,5.8125
1487,5.9375
1488,6.125
1489,0
1490,0
1491,0
1492,7.9375
1493,-8
1494,0.0625
1495,0
1496,0.0625
1497,0
1498,-0.0625
1499,0
1500,7.8125
1501,7.9375
1502,-7.875
1503,-7.75
1504,-7.5625
1505,0
1506,0
1507,0
1508,7.9375
1509,-8
1510,0.0625
1511,0
1512,0.0625
1513,0
1514,-0.0625
1515,0
1516,-5.875
1517,-5.6875
1518,-5.5625
1519,-5.4375
1520,-5.25
1521,0
1522,0
1523,0
1524,7.9375
1525,-8
1526,0.0625
1527,0
1528,0.0625
1529,0
1530,-0.0625
1531,0
1532,-3.5625
1533,-3.375
1534,-3.25
1535,-3.125
1536,-2.9375
1537,0
1538,0
1539,0
1540,7.9375
1541,-8
1542,0.0625
1543,0
1544,0.0625
1545,0
1546,-0.0625
1547,0
1548,-1.25
1549,-1.0625
1550,-0.9375
1551,-0.8125
1552,-0.625
1553,0
1554,0
1555,0
1556,7.9375
1557,-8
1558,0.0625
1559,0
1560,0.0625
1561,0
1562,-0.0625
1563,0
1564,1.0625
1565,1.25
1566,1.375
1567,1.5
1568,1.6875
1569,0
1570,0
1571,0
1572,7.9375
1573,-8
1574,0.0625
1575,0
1576,0.0625
1577,0
1578,-0.0625
1579,0
1580,3.375
1581,3.5625
1582,3.6875
