cycle,o_word
1980,1.984375
1981,1.984375
1982,1.984375
1983,1.984375
1984,1.984375
1985,0
1986,0.015625
1987,-0.015625
1988,1.984375
1989,-2
1990,0
1991,-0.015625
1992,0.015625
1993,0
1994,-0.015625
1995,0.015625
1996,-1.9375
1997,-1.359375
1998,-0.78125
1999,-0.203125
2000,0.375
2001,0
2002,0.015625
2003,-0.015625
2004,1.984375
2005,-2
2006,0
2007,-0.015625
2008,0.015625
2009,0
2010,-0.015625
2011,0.015625
2012,1.984375
2013,1.984375
2014,-2
2015,-2
2016,-2
2017,0
2018,0.015625
2019,-0.015625
2020,1.984375
2021,-2
2022,0
2023,-0.015625
2024,0.015625
2025,0
2026,-0.015625
2027,0.015625
2028,0.5625
2029,1.140625
2030,1.71875
2031,1.984375
2032,1.984375
2033,0
2034,0.015625
2035,-0.015625
2036,1.984375
2037,-2
2038,0
2039,-0.015625
2040,0.015625
2041,0
2042,-0.015625
2043,0.015625
2044,-2
2045,-2
2046,-2
2047,-2
2048,-2
2049,0
2050,0.015625
2051,-0.015625
2052,1.984375
2053,-2
2054,0
2055,-0.015625
2056,0.015625
2057,0
2058,-0.015625
2059,0.015625
2060,1.984375
2061,1.984375
2062,1.984375
2063,1.984375
2064,1.984375
2065,0
2066,0.015625
2067,-0.015625
2068,1.984375
2069,-2
2070,0
2071,-0.015625
2072,0.015625
2073,0
2074,-0.015625
2075,0.015625
2076,-2
2077,-2
2078,-2
2079,-1.953125
2080,-1.375
2081,0
2082,0.015625
2083,-0.015625
2084,1.984375
2085,-2
2086,0
2087,-0.015625
2088,0.015625
2089,0
2090,-0.015625
2091,0.015625
2092,1.984375
2093,1.984375
2094,1.984375
2095,1.984375
2096,1.984375
2097,0
2098,0.015625
2099,-0.015625
2100,1.984375
2101,-2
2102,0
2103,-0.015625
2104,0.015625
2105,0
2106,-0.015625
2107,0.015625
2108,-1.1875
2109,-0.609375
2110,-0.03125
2111,0.546875
2112,1.125
2113,0
2114,0.015625
2115,-0.015625
2116,1.984375
2117,-2
2118,0
2119,-0.015625
2120,0.015625
2121,0
